T,Simulink
0.359,7.8899
0.36,7.89
0.361,7.8901
0.362,7.8902
0.363,7.8903
0.364,7.8904
0.365,7.8905
0.366,7.8906
0.367,7.8907
0.368,7.8908
0.369,7.8909
0.37,7.891
0.371,7.8911
0.372,7.8912
0.373,7.8913
0.374,7.8914
0.375,7.8915
0.376,7.8916
0.377,7.8917
0.378,7.8918
0.379,7.8919
0.38,7.892
0.381,7.8921
0.382,7.8922
0.383,7.8923
0.384,7.8924
0.385,7.8925
0.386,7.8926
0.387,7.8927
0.388,7.8928
0.389,7.8929
0.39,7.893
0.391,7.8931
0.392,7.8932
0.393,7.8933
0.394,7.8934
0.395,7.8935
0.396,7.8936
0.397,7.8937
0.398,7.8938
0.399,7.8939
0.4,7.894
0.401,7.8941
0.402,7.8942
0.403,7.8943
0.404,7.8944
0.405,7.8945
0.406,7.8946
0.407,7.8947
0.408,7.8948
0.409,7.8949
0.41,7.895
0.411,7.8951
0.412,7.8952
0.413,7.8953
0.414,7.8954
0.415,7.8955
0.416,7.8956
0.417,7.8957
0.418,7.8958
0.419,7.8959
0.42,7.896
0.421,7.8961
0.422,7.8962
0.423,7.8963
0.424,7.8964
0.425,7.8965
0.426,7.8966
0.427,7.8967
0.428,7.8968
0.429,7.8969
0.43,7.897
0.431,7.8971
0.432,7.8972
0.433,7.8973
0.434,7.8974
0.435,7.8975
0.436,7.8976
0.437,7.8977
0.438,7.8978
0.439,7.8979
0.44,7.898
0.441,7.8981
0.442,7.8982
0.443,7.8983
0.444,7.8984
0.445,7.8985
0.446,7.8986
0.447,7.8987
0.448,7.8988
0.449,7.8989
0.45,7.899
0.451,7.8991
0.452,7.8992
0.453,7.8993
0.454,7.8994
0.455,7.8995
0.456,7.8996
0.457,7.8997
0.458,7.8998
0.459,7.8999
0.46,7.9
0.461,7.9001
0.462,7.9002
0.463,7.9003
0.464,7.9004
0.465,7.9005
0.466,7.9006
0.467,7.9007
0.468,7.9008
0.469,7.9009
0.47,7.901
0.471,7.9011
0.472,7.9012
0.473,7.9013
0.474,7.9014
0.475,7.9015
0.476,7.9016
0.477,7.9017
0.478,7.9018
0.479,7.9019
0.48,7.902
0.481,7.9021
0.482,7.9022
0.483,7.9023
0.484,7.9024
0.485,7.9025
0.486,7.9026
0.487,7.9027
0.488,7.9028
0.489,7.9029
0.49,7.903
0.491,7.9031
0.492,7.9032
0.493,7.9033
0.494,7.9034
0.495,7.9035
0.496,7.9036
0.497,7.9037
0.498,7.9038
0.499,7.9039
0.5,7.904
0.501,7.9041
0.502,7.9042
0.503,7.9043
0.504,7.9044
0.505,7.9045
0.506,7.9046
0.507,7.9047
0.508,7.9048
0.509,7.9049
0.51,7.905
0.511,7.9051
0.512,7.9052
0.513,7.9053
0.514,7.9054
0.515,7.9055
0.516,7.9056
0.517,7.9057
0.518,7.9058
0.519,7.9059
0.52,7.906
0.521,7.9061
0.522,7.9062
0.523,7.9063
0.524,7.9064
0.525,7.9065
0.526,7.9066
0.527,7.9067
0.528,7.9068
0.529,7.9069
0.53,7.907
0.531,7.9071
0.532,7.9072
0.533,7.9073
0.534,7.9074
0.535,7.9075
0.536,7.9076
0.537,7.9077
0.538,7.9078
0.539,7.9079
