T Proposed
0.0000 11.5000
0.8095 20.0000
0.8095 20.0000
0.8095 20.0000
12.3480 5.0000
12.3480 5.0000
12.3480 5.0000
13.7766 20.0000
13.7766 20.0000
13.7766 20.0000
19.3321 5.0000
19.3321 5.0000
19.3321 5.0000
20.7607 20.0000
20.7607 20.0000
