T Proposed
0.0 0.0
0.001 9.318547083556455E-4
0.006 0.004029397242
0.01225 0.0057835547872
0.0136256389 0.0060005868373
0.0136256389 0.0060005868373
0.0146256389 0.0069995034941
0.0206366553 0.0130005009985
0.0206366553 0.0130005009985
0.0216366553 0.0139649001284
0.031636655300000004 0.0236084116461
0.13163665530000002 0.1199878095911
0.18163665530000002 0.1799878095911
0.3188372982 0.3000007968391
0.3188372982 0.3000007968391
0.3198372982 0.3009658201578
0.3298372982 0.3112343510976
0.35483729820000004 0.3423132189225
0.38608729820000004 0.3938009209069
0.42514979820000004 0.4812182714441
0.44956386070000004 0.5497340535716
0.48008143880000004 0.6494686531812
0.5182284115 0.790874267634
0.5659121273000001 0.9767402784684
0.5957144497 1.0871246011092
0.6329673527 1.2094309632937
0.6795334814 1.3311266469589
0.7086373119 1.3895557077345
0.7450171 1.4460627450545
0.7904918351 1.4961833272468
0.847335254 1.536355804493
0.8828623908000001 1.5529841773936
0.9272713118 1.5677732528812
0.982782463 1.580109443829
1.1805687297 1.600130856909
1.6 1.6186837480841
